Image URL,Dimensions,Original Size,Webp,50x50,50x50(webp),100x100,100x100(webp),200x200,200x200(webp),300x300,300x300(webp)
https://cdn.starapps.studio/v2/apps/vsk/00226b-4/groups/4254593/frosted-elegance.media,"",237.70703125,162.69921875,4.015625,3.62109375,4.9189453125,4.20703125,7.4453125,5.7421875,10.84765625,7.60546875
https://cdn.starapps.studio/v2/apps/vsk/00226b-4/groups/4254593/frosted-elegance-magsafe-case.media,"",241.90625,134.814453125,4.0341796875,3.65234375,5.25390625,4.455078125,8.736328125,6.345703125,13.0888671875,8.78515625
https://cdn.starapps.studio/v2/apps/vsk/0103d0/groups/3781406/modularis-95cm-tortora-87.media,"",292.09375,5.560546875,2.43359375,0.09375,10.27734375,0.16015625,44.8154296875,0.408203125,100.5439453125,1.244140625
https://cdn.starapps.studio/v2/apps/vsk/0103d0/groups/3781406/modularis-95cm-cemento-89.media,"",238.552734375,1.322265625,2.73828125,0.095703125,7.8984375,0.14453125,34.7783203125,0.255859375,80.0048828125,0.443359375
https://cdn.starapps.studio/v2/apps/vsk/0103d0/groups/3798024/modularis-85cm-naturale-12.media,"",7.22265625,2.998046875,2.548828125,1.61328125,4.4052734375,2.140625,7.337890625,3.05078125,12.1220703125,4.201171875
https://cdn.starapps.studio/v2/apps/vsk/01c123/groups/4058219/pendientes-one-love-plata.media,"",6.4638671875,4.962890625,4.244140625,3.990234375,4.8291015625,4.314453125,6.173828125,5.013671875,7.5107421875,5.21484375
https://cdn.starapps.studio/v2/apps/vsk/01c123/groups/4058219/pendientes-one-love-fucsia.media,"",8.072265625,5.724609375,4.701171875,4.287109375,5.63671875,4.814453125,7.6484375,5.806640625,9.97265625,6.345703125
https://cdn.starapps.studio/v2/apps/vsk/01c123/groups/4058219/pendientes-one-love-oro.media,"",7.462890625,5.396484375,4.5341796875,4.140625,5.3603515625,4.615234375,6.998046875,5.453125,8.7021484375,5.92578125
https://cdn.starapps.studio/v2/apps/vsk/020459-4/groups/3795131/ulla-luminous-foundation-07.media,"",19.0673828125,1.935546875,4.5927734375,0.859375,14.373046875,1.791015625,43.3798828125,4.478515625,79.8876953125,7.263671875
https://cdn.starapps.studio/v2/apps/vsk/020459-4/groups/3795131/ulla-luminous-foundation-10.media,"",17.5458984375,1.216796875,4.1708984375,0.677734375,12.8095703125,1.38671875,37.5546875,3.654296875,68.05859375,5.931640625
https://cdn.starapps.studio/v2/apps/vsk/020459-4/groups/3795131/luminous-foundation-06.media,"",16.349609375,1.416015625,3.71875,0.73046875,11.8759765625,1.47265625,35.9384765625,3.955078125,65.1875,6.12890625
https://cdn.starapps.studio/v2/apps/vsk/029c8c-4/groups/4472033/silver-om-ganesha-rakhi-hamper.media,"",34.9677734375,4.322265625,7.0224609375,1.943359375,23.3701171875,3.173828125,71.5009765625,5.748046875,130.9345703125,8.39453125
https://cdn.starapps.studio/v2/apps/vsk/029c8c-4/groups/4472033/silver-ganesha-rakhi-hamper.media,"",34.5068359375,4.236328125,7.388671875,2.0,23.9912109375,3.3359375,71.728515625,5.6484375,130.7080078125,7.955078125
https://cdn.starapps.studio/v2/apps/vsk/029c8c-4/groups/4472033/silver-ek-onkar-rakhi-hamper.media,"",32.86328125,3.955078125,7.0234375,1.93359375,22.7431640625,3.064453125,68.18359375,5.240234375,123.720703125,7.3828125
https://cdn.starapps.studio/v2/apps/vsk/02c782/groups/4055290/lunica-vibes-printed-mid-rise-sports-shorts.media,"",65.51953125,7.564453125,2.3291015625,0.25390625,9.693359375,0.986328125,29.6103515625,3.138671875,60.4599609375,6.02734375
https://cdn.starapps.studio/v2/apps/vsk/02c782/groups/4055306/lunica-diamond-ruched-back-sports-leggings.media,"",83.0390625,9.548828125,5.931640625,0.74609375,22.685546875,2.998046875,84.1806640625,9.103515625,164.4423828125,14.14453125
https://cdn.starapps.studio/v2/apps/vsk/02c782/groups/4055307/luna-sports-bodysuit.media,"",31.04296875,0.841796875,2.1064453125,0.28125,5.3642578125,0.408203125,14.8232421875,0.67578125,25.6689453125,1.02734375
https://cdn.starapps.studio/v2/apps/vsk/033444-10/groups/4153419/rose-gold-translucent-flower-drop-pendant-necklace.media,"",87.1611328125,2.71484375,2.525390625,0.259765625,6.8203125,0.451171875,24.3154296875,0.822265625,53.5283203125,1.466796875
https://cdn.starapps.studio/v2/apps/vsk/033444-10/groups/4153419/silver-translucent-flower-drop-pendant-necklace.media,"",54.162109375,51.591796875,3.751953125,3.375,4.201171875,3.546875,6.4638671875,5.076171875,11.9453125,9.654296875
https://cdn.starapps.studio/v2/apps/vsk/033444-10/groups/4171562/rose-gold-petite-honeycomb-set-exclusive-combo-price.media,"",87.1611328125,2.71484375,2.525390625,0.259765625,6.8203125,0.451171875,24.3154296875,0.822265625,53.5283203125,1.466796875
https://cdn.starapps.studio/v2/apps/vsk/036d93/groups/3579327/blackpokemon-npkm35-shorts-larvitar.media,"",240.6005859375,132.53515625,1.7978515625,1.4453125,3.990234375,3.513671875,12.6318359375,11.8203125,26.5595703125,24.44140625
https://cdn.starapps.studio/v2/apps/vsk/036d93/groups/3579327/blackpokemon-npkm35-crewneck-sweatshirt-unisex-larvitar.media,"",116.912109375,39.75,1.8388671875,1.396484375,3.2958984375,2.4375,7.30859375,5.27734375,12.7294921875,8.4609375
https://cdn.starapps.studio/v2/apps/vsk/036d93/groups/3579318/blackpokemon-npkm26-cotton-t-shirt-unisex-eevee.media,"",152.3447265625,49.7890625,1.9248046875,1.451171875,3.634765625,2.732421875,8.3359375,5.947265625,14.7607421875,9.689453125
